NAME;ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
Dive Bar;4bf58dd8d48988d118941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Gay Bar;4bf58dd8d48988d1d8941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;Gay;;;;
Hookah Bar;4bf58dd8d48988d119941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Hotel Bar;4bf58dd8d48988d1d5941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;High;;
Karaoke Bar;4bf58dd8d48988d120941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Pub;4bf58dd8d48988d11b941735;Liquor,Wine,Beer,Cocktails;Eating out,Having a drink;Friends;;;;;;;;;;;;
Sake Bar;4bf58dd8d48988d11c941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Speakeasy;4bf58dd8d48988d1d4941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;High;;
Sports Bar;4bf58dd8d48988d11d941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Tiki Bar;56aa371be4b08b9a8d57354d;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Whisky Bar;4bf58dd8d48988d122941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;High;;
Wine Bar;4bf58dd8d48988d123941735;Wine;Having a drink;Friends;;;;;;;;;;High;;
Brewery;50327c8591d4c4b30a586d5d;Beer;Having a drink;Friends;;;;;;;;;;;;
Lounge;4bf58dd8d48988d121941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Night Market;53e510b7498ebcb1801b55d4;YES;Having a drink;Friends;;;;;;;;;;;;
Nightclub;4bf58dd8d48988d11f941735;YES;Having a drink;Friends;;;;;;;;;;;;
Other Nightlife;4bf58dd8d48988d11a941735;YES;Having a drink;Friends;;;;;;;;;;;;
Strip Club;4bf58dd8d48988d1d6941735;YES;Having a drink,Entertainment;Friends;;;;;;;;;;;;
Athletics & Sports;4f4528bc4b90abdf24c9de85;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Badminton Court;52e81612bcbc57f1066b7a2b;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Baseball Field;4bf58dd8d48988d1e8941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Basketball Court;4bf58dd8d48988d1e1941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Bowling Green;52e81612bcbc57f1066b7a2f;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Curling Ice;56aa371be4b08b9a8d57351a;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Golf Course;4bf58dd8d48988d1e6941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;High;;
Golf Driving Range;58daa1558bbb0b01f18ec1b0;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;High;;
Gym / Fitness Center;4bf58dd8d48988d175941735;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Boxing Gym;52f2ab2ebcbc57f1066b8b47;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Climbing Gym;503289d391d4c4b30a586d6a;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Cycle Studio;52f2ab2ebcbc57f1066b8b49;YES;Sports,Entertainment;Friends;Sports;;;;;;;;;;;
Gym Pool;4bf58dd8d48988d105941735;YES;Sports,Entertainment;Friends;Swimming;;;;;;;;;;;
Gymnastics Gym;52f2ab2ebcbc57f1066b8b48;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Gym;4bf58dd8d48988d176941735;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Martial Arts Dojo;4bf58dd8d48988d101941735;YES;Sports,Entertainment;Friends;Martial arts;;;;;;;;;;;
Outdoor Gym;58daa1558bbb0b01f18ec203;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Pilates Studio;5744ccdfe4b0c0459246b4b2;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Track;4bf58dd8d48988d106941735;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Weight Loss Center;590a0744340a5803fd8508c3;YES;Sports,Entertainment;Friends;;;;;;;;;;;;
Yoga Studio;4bf58dd8d48988d102941735;YES;Sports,Entertainment;Friends;Yoga;;;;;;;;;;;
