ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
<http://dbpedia.org/ontology/Software>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Continent>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Senator>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Band>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/HockeyTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/President>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Cleric>;YES;;;;YES;;;;;;;;;;
<http://dbpedia.org/ontology/RugbyPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MusicalArtist>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/FootballMatch>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Mineral>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Website>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Olympics>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Song>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SoccerLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Bird>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Food>;YES;;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Cardinal>;YES;;;;YES;;;;;;;;;;
<http://dbpedia.org/ontology/TelevisionEpisode>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SpaceShuttle>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SportsTeamMember>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Ambassador>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/IceHockeyLeague>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Automobile>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Fish>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Cyclist>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Reptile>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Cheese>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Fungus>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/LawFirm>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/TennisTournament>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/TelevisionSeason>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Train>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Skyscraper>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/CollegeCoach>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Event>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Rocket>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Fashion>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Election>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Astronaut>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RadioProgram>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/FictionalCharacter>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/VideoGame>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Mayor>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Grape>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/AmericanFootballPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/WrittenWork>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/HandballTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/WrestlingEvent>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Athlete>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/GolfPlayer>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
