ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM
4bf58dd8d48988d18a941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d189941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d185941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
56aa371be4b08b9a8d573556;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d188941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4e39a891bd410d7aed40cbc2;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d187941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d182941735;YES;Entertainment;YES;;;;;;;;;;;
5109983191d435c0d71c2bb1;YES;Entertainment;YES;;;;;;;;;;;
56aa371be4b08b9a8d573520;YES;Tourism;;;;;;;;;;;;
4bf58dd8d48988d193941735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d17b941735;YES;Entertainment,Tourism;YES;;;;;;;;;;;
58daa1558bbb0b01f18ec1fd;YES;Entertainment,Tourism;YES;;;;;;;;;;;
4bf58dd8d48988d198941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d199941735;YES;Education;YES;Arts;;;;;;;;;;
4bf58dd8d48988d19a941735;YES;Education;YES;Communication;;;;;;;;;;
4bf58dd8d48988d19e941735;YES;Education;YES;Engineering;;;;;;;;;;
4bf58dd8d48988d19d941735;YES;Education;YES;History;;;;;;;;;;
4bf58dd8d48988d19c941735;YES;Education;YES;Math;;;;;;;;;;
4bf58dd8d48988d19b941735;YES;Education;YES;Science;;;;;;;;;;
4bf58dd8d48988d19f941735;YES;Education;YES;Technology;;;;;;;;;;
4bf58dd8d48988d197941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1af941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1b1941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1a1941735;YES;Eating,Coffee;YES;;;;;;;;;;;
4bf58dd8d48988d1a0941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1b2941735;YES;Sports;YES;;;;;;;;;;;
4bf58dd8d48988d1a5941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1a7941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1aa941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1a9941735;YES;Sports,Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d1a3941735;YES;Housing;YES;;;;;;;;;;;
4bf58dd8d48988d1b4941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d1bb941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1ba941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1b9941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1b8941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1b5941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1b7941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4e39a9cebd410d7aed40cbc4;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1b6941735;YES;Entertainment,Sports;YES;Sports;;;;;;;;;;
4bf58dd8d48988d1ac941735;YES;Entertainment;YES;YES;;;;;;;;;;
4bf58dd8d48988d1a2941735;YES;Education;YES;YES;;;;;;;;;;
4bf58dd8d48988d1b0941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1a8941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1a6941735;YES;Education;YES;Law;;;;;;;;;;
4bf58dd8d48988d1b3941735;YES;Education;YES;Medecine;;;;;;;;;;
4bf58dd8d48988d141941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1ab941735;YES;Education;YES;;;;;;;;;;;
4bf58dd8d48988d1ad941735;YES;Education;YES;YES;;;;;;;;;;
4bf58dd8d48988d1ae941735;YES;Education;YES;;;;;;;;;;;
52f2ab2ebcbc57f1066b8b3b;YES;Tourism;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c6;YES;Entertainment;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c9;YES;Entertainment;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c7;YES;Tourism,Entertainment;;;;;;;;;;;;
58daa1558bbb0b01f18ec1fa;YES;Tourism;;;;;;;;;;;;
5267e4d9e4b0ec79466e48d1;YES;Entertainment;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c8;YES;Entertainment;;;;;;;;;;;;
52741d85e4b0d5d1e3c6a6d9;YES;Tourism,Entertainment;;;;;;;;;;;;
52f2ab2ebcbc57f1066b8b54;YES;Entertainment;;;;;;;;;;;;
5267e4d8e4b0ec79466e48c5;YES;Tourism,Entertainment;;;;;;;;;;;;
503288ae91d4c4b30a586d67;YES;Eating;YES;;;;;;;YES;;;;
4bf58dd8d48988d1c8941735;YES;Eating;YES;;;;;;;YES;;;;
